Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2022,Miguel Cabrera,DET,79,309,286,82,71,8,0,3,19,34,16,2,74,2,5,0,5,1,0,0.286713286,1744
2022,David Peralta,ARI,80,286,259,61,32,16,1,12,26,38,24,4,72,1,2,0,5,1,2,0.235521235,2136
2022,Carlos Santana,2 Tms,69,281,234,51,32,11,0,8,28,29,46,2,41,1,0,0,3,0,0,0.217948717,2396
2022,Nelson Cruz,WSN,84,351,310,75,54,13,0,8,39,48,36,1,78,2,1,0,12,3,0,0.241935483,2434
2022,Tommy Pham,CIN,81,346,302,73,51,10,1,11,53,36,40,0,86,1,3,0,12,7,1,0.241721854,2967
2022,Anthony Rizzo,NYY,85,361,303,68,30,15,1,22,55,57,43,5,64,13,2,0,9,6,2,0.224422442,3473
2022,Eric Hosmer,SDP,81,336,306,83,63,14,0,6,28,35,29,5,54,0,1,0,8,0,0,0.27124183,3516
2022,Michael Brantley,HOU,64,277,243,70,50,14,1,5,28,26,31,2,30,1,1,1,1,1,1,0.288065843,4106
2022,Joey Votto,CIN,67,275,236,51,27,17,1,6,24,30,33,0,72,6,0,0,4,0,0,0.216101694,4314
2022,Mike Moustakas,CIN,63,235,205,43,27,11,0,5,24,20,21,0,61,6,3,0,5,2,0,0.209756097,4892
2022,Giancarlo Stanton,NYY,76,318,279,66,36,6,0,24,40,61,35,2,86,0,3,0,6,0,0,0.236559139,4949
2022,Josh Donaldson,NYY,72,297,259,58,33,16,0,9,30,35,30,0,81,4,4,0,6,2,1,0.223938223,5038
2022,Justin Turner,LAD,84,348,305,78,49,21,0,8,40,51,34,1,58,3,6,0,7,1,0,0.255737704,5235
2022,Robbie Grossman,DET,72,286,244,50,38,9,1,2,22,19,33,0,83,6,3,0,2,3,1,0.204918032,5254
2022,Aaron Hicks,NYY,73,281,233,55,42,5,2,6,35,29,42,3,62,4,1,1,5,9,3,0.236051502,5297
2022,Brandon Crawford,SFG,72,279,247,53,36,10,2,5,29,33,22,2,57,8,2,0,9,1,1,0.214574898,5343
2022,Freddie Freeman,LAD,90,406,355,114,68,31,2,13,60,59,43,5,66,4,4,0,4,7,0,0.32112676,5361
2022,Jose Altuve,HOU,74,323,280,77,43,17,0,17,49,33,36,0,51,6,1,0,7,8,1,0.275,5417
2022,Ji Man Choi,TBR,66,257,216,60,37,16,0,7,26,41,39,2,72,0,2,0,2,0,0,0.277777777,5452
2022,Avisail Garcia,MIA,77,301,284,64,50,8,0,6,26,28,11,0,85,4,2,0,10,4,0,0.225352112,5760
2022,Wilmer Flores,SFG,86,334,292,74,44,17,0,13,47,51,32,1,53,6,4,0,4,0,0,0.253424657,5827
2022,Leury Garcia,CHW,66,242,229,47,38,7,0,2,26,15,7,0,52,2,3,1,5,1,0,0.205240174,5913
2022,Jean Segura,PHI,44,179,167,46,36,4,0,6,22,19,10,1,26,2,0,0,7,8,1,0.275449101,5933
2022,Didi Gregorius,PHI,52,192,175,41,27,9,4,1,15,17,13,0,30,3,1,0,0,1,0,0.234285714,6012
2022,Eduardo Escobar,NYM,86,362,330,74,42,18,3,11,37,40,26,0,89,1,5,0,1,0,2,0.224242424,6153
2022,J.D. Martinez,BOS,81,356,318,96,57,30,0,9,51,38,31,1,84,4,3,0,10,0,0,0.301886792,6184
2022,Martin Maldonado,HOU,66,232,210,35,18,8,0,9,23,26,17,0,75,2,1,2,3,0,0,0.166666666,6887
2022,Salvador Perez,KCR,57,236,223,47,22,13,1,11,25,34,9,1,65,4,0,0,6,0,0,0.210762331,7304
2022,Travis d'Arnaud,ATL,63,258,241,63,37,15,0,11,36,38,11,0,52,6,0,0,7,0,0,0.261410788,7739
2022,Miguel Rojas,MIA,82,296,275,66,48,11,1,6,26,21,16,1,35,3,2,0,5,6,1,0.24,7802
2022,Charlie Blackmon,COL,83,363,332,92,58,16,4,14,47,54,23,1,63,2,2,4,6,2,1,0.277108433,7859
2022,Josh Harrison,CHW,65,231,207,48,30,12,2,4,30,17,13,0,40,9,1,1,5,1,0,0.231884057,8202
2022,Elvis Andrus,OAK,85,312,284,64,39,19,0,6,34,25,27,0,48,1,0,0,8,5,2,0.225352112,8709
2022,Paul Goldschmidt,STL,90,391,339,112,64,28,0,20,64,70,47,1,83,2,1,0,4,5,0,0.33038348,9218
2022,Starling Marte,NYM,77,336,312,92,62,18,3,9,52,41,17,0,60,7,0,0,10,12,6,0.294871794,9241
2022,AJ Pollock,CHW,67,272,255,58,40,13,1,4,30,26,14,0,58,1,2,0,4,1,0,0.22745098,9256
2022,Yan Gomes,CHC,51,169,164,35,25,7,0,3,11,12,3,0,26,1,1,0,8,0,0,0.213414634,9627
2022,Christian Vazquez,BOS,72,277,256,70,46,18,0,6,27,36,15,0,46,3,3,0,6,1,2,0.2734375,9774
2022,Nolan Arenado,STL,88,370,331,97,57,21,1,18,41,59,33,2,48,3,3,0,10,1,3,0.293051359,9777
2022,Andrew McCutchen,MIL,77,338,306,78,56,13,0,9,39,41,26,0,66,3,3,0,8,6,5,0.25490196,9847
2022,DJ LeMahieu,NYY,83,358,305,85,63,14,0,8,56,35,48,0,45,4,1,0,7,4,1,0.278688524,9874
2022,Darin Ruf,SFG,80,283,242,55,37,9,0,9,41,32,36,0,75,4,1,0,8,2,0,0.227272727,9929
2022,Christian Bethancourt,2 Tms,59,193,180,44,28,11,0,5,25,21,10,0,44,2,0,1,3,4,1,0.244444444,10028
2022,Max Stassi,LAA,58,215,187,38,26,7,0,5,20,16,27,0,65,1,0,0,6,0,0,0.203208556,10059
2022,Jonathan Villar,2 Tms,56,212,195,41,31,6,2,2,24,17,14,0,57,0,2,1,3,7,0,0.21025641,10071
2022,Mike Trout,LAA,79,326,282,76,33,17,2,24,55,51,39,6,97,5,0,0,3,1,0,0.269503546,10155
2022,Tucker Barnhart,DET,59,183,169,35,29,6,0,0,8,9,14,0,54,0,0,0,4,0,0,0.207100591,10200
2022,Jose Iglesias,COL,77,300,282,85,62,20,0,3,29,34,12,0,34,5,1,0,8,2,3,0.301418439,10231
2022,Randal Grichuk,COL,75,300,282,70,46,15,0,9,33,42,13,0,74,3,2,0,8,2,0,0.24822695,10243
2022,Brandon Belt,SFG,51,200,169,41,27,5,1,8,22,19,26,1,55,4,1,0,7,1,0,0.24260355,10264
2022,Rafael Ortega,CHC,75,257,217,52,35,12,1,4,24,23,32,0,54,1,5,1,8,7,5,0.239631336,10323
2022,Marcell Ozuna,ATL,88,370,339,75,46,12,0,17,41,37,26,0,82,2,3,0,10,2,1,0.221238938,10324
2022,Enrique Hernandez,BOS,51,238,215,45,25,16,0,4,27,24,18,0,38,2,3,0,5,0,1,0.209302325,10472
2022,Cesar Hernandez,WSN,93,404,369,89,68,19,2,0,44,20,29,0,72,4,1,1,9,3,2,0.241192411,10556
2022,Gio Urshela,MIN,79,308,283,74,49,16,1,8,33,36,21,0,53,0,4,0,13,0,0,0.261484098,10681
2022,Jurickson Profar,SDP,85,373,320,77,46,21,2,8,50,38,48,0,52,3,2,0,7,4,1,0.240625,10815
2022,Adam Duvall,ATL,81,314,286,61,32,16,1,12,39,36,21,0,101,5,2,0,2,0,2,0.213286713,10950
2022,Kevin Kiermaier,TBR,60,221,206,47,32,8,0,7,28,22,14,0,61,1,0,0,2,6,1,0.228155339,11038
2022,Kole Calhoun,TEX,83,309,285,63,38,13,1,11,33,41,19,0,88,3,2,0,3,2,2,0.221052631,11200
2022,Jonathan Schoop,DET,88,346,330,70,49,14,1,6,31,23,12,1,70,3,1,0,10,5,0,0.212121212,11265
2022,Whit Merrifield,KCR,84,373,338,81,57,18,1,5,45,36,28,0,54,0,7,0,8,14,2,0.23964497,11281
2022,Jesus Aguilar,MIA,83,345,314,79,54,14,0,11,32,37,20,0,78,3,4,0,8,1,0,0.251592356,11342
2022,Yasmani Grandal,CHW,50,201,173,32,27,3,0,2,6,15,27,1,45,0,1,0,4,1,0,0.184971098,11368
2022,Gary Sanchez,MIN,69,277,253,55,27,18,0,10,28,36,18,0,76,4,2,0,6,1,0,0.217391304,11442
2022,Mark Canha,NYM,76,303,260,70,55,8,0,7,40,31,32,0,58,10,1,0,2,1,1,0.269230769,11445
2022,Odubel Herrera,PHI,57,183,172,42,27,9,1,5,21,19,10,0,37,0,1,0,3,4,0,0.244186046,11476
2022,Christian Yelich,MIL,88,379,327,82,59,12,3,8,59,31,46,1,90,3,2,1,6,13,0,0.250764525,11477
2022,Michael A. Taylor,KCR,64,236,208,55,42,6,2,5,26,24,24,0,56,1,2,1,4,1,1,0.264423076,11489
2022,Manny Machado,SDP,83,353,314,95,60,19,1,15,56,51,37,6,66,1,1,0,6,7,1,0.30254777,11493
2022,Bryce Harper,PHI,64,275,242,77,40,21,1,15,49,48,26,4,52,3,4,0,9,9,2,0.318181818,11579
2022,Willson Contreras,CHC,78,339,288,73,42,17,1,13,48,35,35,0,75,16,0,0,10,3,2,0.253472222,11609
2022,Brandon Drury,CIN,80,339,309,86,47,19,2,18,56,52,24,0,74,4,2,0,6,2,2,0.278317152,11615
2022,Elias Diaz,COL,61,226,208,48,31,10,2,5,17,23,15,0,45,1,2,0,7,0,0,0.23076923,11680
2022,Nick Castellanos,PHI,91,380,354,89,61,20,0,8,36,46,22,0,94,2,2,0,12,4,1,0.251412429,11737
2022,J.T. Realmuto,PHI,79,322,286,72,48,14,2,8,42,38,24,0,68,8,4,0,5,12,0,0.251748251,11739
2022,Joc Pederson,SFG,79,266,234,59,31,11,0,17,36,43,25,3,57,4,3,0,4,3,2,0.252136752,11899
2022,Jon Berti,MIA,56,222,192,52,38,10,2,2,32,19,27,0,47,2,1,0,4,28,3,0.270833333,12037
2022,Max Kepler,MIN,83,330,282,69,46,13,1,9,39,37,41,0,49,4,3,0,7,2,2,0.244680851,12144
2022,Ben Gamel,PIT,59,209,185,46,30,11,1,4,25,22,23,0,57,1,0,0,0,3,1,0.248648648,12160
2022,Xander Bogaerts,BOS,89,375,329,104,73,24,0,7,54,37,36,2,73,6,4,0,7,5,0,0.316109422,12161
2022,Maikel Franco,WSN,87,339,322,77,54,15,0,8,28,38,12,0,64,2,3,0,14,0,0,0.239130434,12179
2022,Jorge Alfaro,SDP,55,198,186,51,33,12,0,6,21,26,9,0,68,1,2,0,3,1,0,0.274193548,12180
2022,Rougned Odor,BAL,79,281,257,52,26,13,3,10,32,35,17,0,73,5,2,0,8,1,1,0.20233463,12282
2022,Jace Peterson,MIL,77,241,214,54,32,12,2,8,33,30,22,1,61,2,2,1,6,10,1,0.252336448,12325
2022,Kolten Wong,MIL,70,272,238,54,33,11,4,6,35,22,24,0,46,7,3,0,2,10,4,0.226890756,12532
2022,Marcus Semien,TEX,89,397,360,86,56,15,2,13,50,43,30,0,65,2,5,0,5,17,2,0.238888888,12533
2022,C.J. Cron,COL,90,381,346,103,59,21,2,21,55,69,24,2,100,6,4,0,10,0,0,0.297687861,12546
2022,Eugenio Suarez,SEA,92,393,339,81,46,18,1,16,44,50,46,0,124,5,3,0,7,0,0,0.238938053,12552
2022,Trevor Story,BOS,81,342,307,68,36,17,0,15,49,58,28,4,105,3,4,0,7,10,0,0.221498371,12564
2022,Brad Miller,TEX,64,198,184,38,29,2,0,7,18,29,13,0,56,0,1,0,1,4,2,0.206521739,12775
2022,George Springer,TOR,82,353,308,77,44,14,2,17,53,42,33,1,68,6,4,0,3,9,1,0.25,12856
2022,Anthony Rendon,LAA,45,188,162,37,22,10,0,5,15,24,23,0,32,1,2,0,7,2,0,0.228395061,12861
2022,Francisco Lindor,NYM,92,407,359,89,58,12,3,16,54,66,36,2,80,7,5,0,4,10,3,0.247910863,12916
2022,Brandon Nimmo,NYM,83,376,325,88,57,17,5,9,59,33,37,0,66,9,3,2,4,0,2,0.27076923,12927
2022,Austin Hedges,CLE,52,179,163,28,22,1,0,5,14,16,10,0,44,2,1,3,6,1,0,0.171779141,12976
2022,Javier Baez,DET,78,319,301,64,35,18,2,9,30,35,14,0,76,2,2,0,9,3,1,0.212624584,12979
2022,Jackie Bradley Jr.,BOS,79,261,242,49,31,16,1,1,16,25,17,0,51,0,0,2,2,2,2,0.202479338,12984
2022,Teoscar Hernandez,TOR,69,283,264,70,40,17,1,12,32,43,17,0,81,2,0,0,6,5,3,0.265151515,13066
2022,Josh Bell,WSN,93,394,341,106,69,21,3,13,49,50,42,3,53,5,4,0,18,0,1,0.310850439,13145
2022,Jorge Polanco,MIN,75,324,274,67,43,10,0,14,41,48,47,0,70,0,3,0,3,3,3,0.244525547,13152
2022,Max Muncy,LAD,73,297,238,39,21,8,1,9,35,30,55,1,72,1,3,0,2,1,0,0.163865546,13301
2022,Omar Narvaez,MIL,53,199,174,41,27,10,1,3,15,17,21,1,40,3,1,0,2,0,0,0.235632183,13338
2022,Tyler Naquin,CIN,50,188,171,41,22,12,1,6,25,26,13,2,50,3,0,1,1,3,1,0.239766081,13359
2022,Christian Walker,ARI,90,370,313,64,29,12,1,22,44,46,50,2,71,4,3,0,7,0,2,0.204472843,13419
2022,Jose Ramirez,CLE,87,375,330,95,42,30,4,19,53,75,40,7,37,3,2,0,4,13,4,0.287878787,13510
2022,Jesse Winker,SEA,85,359,305,70,49,13,0,8,28,35,51,1,66,1,2,0,4,0,0,0.229508196,13590
2022,Patrick Wisdom,CHC,88,359,313,69,34,18,0,17,48,46,39,1,124,5,1,1,6,6,3,0.220447284,13602
2022,Mookie Betts,LAD,73,335,298,79,42,17,0,20,63,47,32,0,61,3,2,0,5,6,1,0.265100671,13611
2022,Ketel Marte,ARI,82,336,292,79,44,26,1,8,45,29,40,2,56,3,1,0,7,4,1,0.270547945,13613
2022,Jeimer Candelario,DET,70,263,241,46,31,7,2,6,26,23,17,0,64,5,0,0,7,0,1,0.190871369,13621
2022,Corey Seager,TEX,88,389,346,87,53,11,1,22,48,52,36,6,62,3,4,0,5,3,0,0.251445086,13624
2022,Tyrone Taylor,MIL,62,231,215,49,26,13,1,9,23,32,12,0,52,3,1,0,5,1,1,0.227906976,13675
2022,Jacob Stallings,MIA,67,226,207,38,32,4,0,2,18,22,16,0,54,1,1,1,9,0,1,0.183574879,13723
2022,Tomas Nido,NYM,54,182,166,35,31,4,0,0,14,15,9,0,49,1,1,5,6,0,0,0.210843373,13755
2022,Chris Taylor,LAD,74,285,252,60,32,19,3,6,32,27,29,2,101,2,2,0,3,6,1,0.238095238,13757
2022,Albert Almora Jr.,CIN,47,175,167,39,27,6,1,5,18,26,5,0,36,1,1,1,6,2,2,0.233532934,14109
2022,Joey Gallo,NYY,71,257,219,36,20,4,1,11,30,23,38,0,98,0,0,0,0,2,0,0.164383561,14128
2022,Daniel Vogelbach,PIT,75,278,237,54,31,10,1,12,29,34,40,1,67,0,1,0,8,0,0,0.227848101,14130
2022,Byron Buxton,MIN,73,304,273,59,22,11,3,23,50,43,24,0,91,6,1,0,0,2,0,0.216117216,14161
2022,Carlos Correa,MIN,70,303,269,75,51,13,0,11,39,33,31,0,65,1,2,0,12,0,0,0.278810408,14162
2022,Andrew Velazquez,LAA,76,238,222,38,27,6,0,5,23,20,9,0,79,3,2,2,3,12,0,0.171171171,14196
2022,Jorge Soler,MIA,70,299,263,55,29,13,0,13,31,34,31,1,86,3,1,0,9,0,2,0.209125475,14221
2022,Matt Olson,ATL,94,415,365,93,42,34,0,17,44,60,47,4,100,1,2,0,8,0,0,0.25479452,14344
2022,Raimel Tapia,TOR,75,254,240,66,47,15,0,4,27,25,9,0,46,0,1,3,8,5,1,0.275,14350
2022,Harold Ramirez,TBR,78,264,240,79,59,16,0,4,31,35,16,1,36,5,3,0,3,3,4,0.329166666,14387
2022,Anthony Santander,BAL,84,360,314,75,48,12,0,15,41,46,35,1,67,8,3,0,6,0,2,0.238853503,14551
2022,Franmil Reyes,CLE,60,243,227,49,33,8,0,8,21,26,13,0,97,1,2,0,7,1,0,0.21585903,14566
2022,Franchy Cordero,BOS,61,216,191,43,24,14,1,4,26,24,20,0,70,1,2,2,1,3,1,0.22513089,14567
2022,Harold Castro,DET,60,210,196,55,39,10,2,4,20,19,9,0,39,1,2,2,3,0,0,0.280612244,14691
2022,Manuel Margot,TBR,51,200,182,55,40,11,1,3,21,27,17,1,35,1,0,0,3,5,1,0.302197802,14712
2022,Brett Phillips,TBR,63,191,170,25,16,4,0,5,19,13,13,0,80,3,1,4,0,7,0,0.147058823,14735
