Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2018,Cody Bellinger,LAD,95,388,343,84,41,22,4,17,57,44,42,2,93,1,2,0,5,5,0,0.244897959,15998
2018,Trea Turner,WSN,96,431,386,103,75,15,2,11,55,39,42,2,81,3,0,0,2,22,6,0.266839378,16252
2018,Michael Conforto,NYM,85,346,287,62,41,10,0,11,35,30,53,5,86,4,2,0,6,2,2,0.216027874,16376
2018,Rhys Hoskins,PHI,86,370,309,78,43,21,0,14,49,56,51,1,93,5,4,0,5,4,3,0.252427184,16472
2018,Kyle Schwarber,CHC,83,321,265,66,37,10,1,18,45,41,53,11,87,1,1,1,3,3,3,0.249056603,16478
2018,Matt Chapman,OAK,81,330,288,72,42,17,3,10,48,29,35,0,78,6,1,0,9,1,2,0.25,16505
2018,Isiah Kiner-Falefa,TEX,65,266,235,59,42,13,2,2,33,24,21,1,45,4,1,5,10,7,4,0.251063829,16512
2018,Ozzie Albies,ATL,93,432,405,114,62,29,3,20,74,55,19,0,71,4,3,1,5,9,3,0.281481481,16556
2018,Colin Moran,PIT,88,300,265,70,49,13,0,8,33,37,28,3,46,3,4,0,5,0,2,0.264150943,16909
2018,Gleyber Torres,NYY,62,241,218,64,38,10,1,15,30,42,17,2,61,3,2,1,4,2,1,0.293577981,16997
2018,Dustin Fowler,OAK,51,180,170,40,30,3,1,6,15,20,7,0,41,1,2,0,1,5,4,0.235294117,17098
2018,Yoan Moncada,CHW,87,383,344,82,46,19,5,12,47,41,36,0,130,1,1,1,1,9,2,0.238372093,17232
2018,Rafael Devers,BOS,88,367,340,82,48,20,0,14,42,48,25,4,92,0,2,0,6,5,1,0.24117647,17350
2018,Alex Bregman,HOU,96,434,371,107,55,31,1,20,67,64,56,0,53,6,1,0,12,8,4,0.288409703,17678
2018,Andrew Benintendi,BOS,90,405,350,104,60,25,5,14,68,57,49,1,71,1,5,0,5,17,1,0.297142857,17901
2018,Ian Happ,CHC,79,280,234,60,37,11,1,11,38,26,45,8,100,1,0,0,4,4,1,0.256410256,17919
2018,Scott Kingery,PHI,91,341,317,75,52,18,1,4,40,27,19,0,82,2,3,0,2,8,2,0.236593059,17975
2018,Paul DeJong,STL,48,205,182,47,30,9,0,8,30,19,18,1,56,5,0,0,4,0,0,0.258241758,18015
2018,Harrison Bader,STL,67,204,184,50,37,6,1,6,31,14,15,2,58,4,0,1,0,9,2,0.27173913,18030
2018,Brian Anderson,MIA,97,424,378,109,75,23,3,8,55,49,37,2,72,8,1,0,13,2,4,0.288359788,18289
2018,Dansby Swanson,ATL,79,327,300,76,47,19,3,7,32,35,23,7,79,1,0,3,2,3,2,0.253333333,18314
2018,Ronald Acuna Jr.,ATL,43,184,169,42,24,11,0,7,24,19,12,0,56,2,1,0,2,2,1,0.24852071,18401
2018,Guillermo Heredia,SEA,76,244,208,48,35,10,1,2,19,11,24,0,46,4,2,6,3,1,3,0.23076923,18721
2018,Yuli Gurriel,HOU,78,335,313,97,67,24,0,6,43,52,14,0,34,3,5,0,15,3,1,0.309904153,19198
2018,Juan Soto,WSN,51,209,176,53,33,11,0,9,32,28,33,2,41,0,0,0,1,2,0,0.301136363,20123
