Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,Gary Sanchez,NYY,117,440,383,78,41,13,1,23,54,54,52,3,121,5,0,0,14,0,0,0.203655352,11442
2021,Mark Canha,OAK,141,625,519,120,77,22,4,17,93,61,77,0,128,27,2,0,9,12,2,0.231213872,11445
2021,Odubel Herrera,PHI,124,492,450,117,75,27,2,13,59,51,29,0,77,6,5,1,6,6,1,0.26,11476
2021,Christian Yelich,MIL,117,475,399,99,69,19,2,9,70,51,70,5,113,3,3,0,5,9,3,0.2481203,11477
2021,Michael A. Taylor,KCR,139,528,483,118,89,16,1,12,58,54,33,0,144,5,5,2,9,14,7,0.244306418,11489
2021,Manny Machado,SDP,153,640,564,157,96,31,2,28,92,106,63,10,102,2,11,0,10,12,3,0.278368794,11493
2021,Bryce Harper,PHI,141,599,488,151,73,42,1,35,101,84,100,14,134,5,4,2,12,13,3,0.309426229,11579
2021,Willson Contreras,CHC,127,483,413,98,57,20,0,21,61,57,52,1,138,14,4,0,11,5,4,0.237288135,11609
2021,Elias Diaz,COL,106,371,338,83,46,18,1,18,52,44,30,1,60,2,1,0,15,0,0,0.24556213,11680
2021,Nick Castellanos,CIN,138,585,531,164,91,38,1,34,95,100,41,5,121,7,6,0,16,3,1,0.308851224,11737
2021,J.T. Realmuto,PHI,132,537,476,125,79,25,4,17,64,73,48,5,129,11,2,0,8,13,3,0.262605042,11739
2021,Joc Pederson,2 Tms,136,481,429,102,62,19,3,18,55,61,39,0,117,8,5,0,9,2,3,0.237762237,11899
2021,Hanser Alberto,KCR,98,255,241,65,40,20,3,2,25,24,4,0,26,4,2,4,1,3,1,0.269709543,11902
2021,Joe Panik,2 Tms,94,257,236,49,37,9,0,3,17,18,17,1,34,2,1,1,9,2,0,0.207627118,11936
2021,Travis Shaw,2 Tms,80,250,220,44,24,11,0,9,20,39,24,0,68,3,1,2,2,0,0,0.2,11982
2021,Jon Berti,MIA,85,271,233,49,34,10,1,4,35,19,32,0,61,3,2,1,7,8,4,0.210300429,12037
2021,Niko Goodrum,DET,90,325,290,62,40,11,2,9,39,33,29,0,107,4,2,0,6,14,5,0.213793103,12092
2021,Max Kepler,MIN,121,490,426,90,46,21,4,19,61,54,54,3,96,6,4,0,2,10,0,0.211267605,12144
2021,Nick Ahmed,ARI,127,473,434,96,58,30,3,5,46,38,34,3,104,2,1,2,9,7,2,0.221198156,12147
2021,Eddie Rosario,2 Tms,111,412,379,98,62,19,3,14,42,62,26,0,61,1,4,2,4,11,3,0.258575197,12155
2021,Austin Barnes,LAD,77,225,200,43,29,8,0,6,28,23,20,1,56,4,0,1,6,1,0,0.215,12158
2021,Ben Gamel,2 Tms,119,400,340,84,55,18,3,8,43,26,51,2,105,3,4,2,7,3,6,0.247058823,12160
2021,Xander Bogaerts,BOS,144,603,529,156,98,34,1,23,90,79,62,2,113,5,7,0,13,5,1,0.29489603,12161
2021,Miguel Sano,MIN,135,532,470,105,51,24,0,30,68,75,59,2,183,2,1,0,13,2,1,0.223404255,12164
2021,Maikel Franco,BAL,103,403,377,79,46,22,0,11,31,47,20,0,67,3,3,0,12,0,0,0.209549071,12179
